,name,year,idbm_year,length,director,writers,star,rating,genre
6809,Welcome to Collinwood,2002,2002,1h 26m,"Anthony Russo,Joe Russo","Anthony Russo,Joe Russo","George Clooney,Sam Rockwell,William H. Macy",6.4,"Comedy,Crime"
6810,White Oleander,2002,2002,1h 49m,Peter Kosminsky,"Janet Fitch,Mary Agnes Donoghue","Michelle Pfeiffer,Renée Zellweger,Robin Wright",7.1,Drama
6811,The Wild Thornberrys Movie,2002,2002,1h 25m,"Cathy Malkasian,Jeff McGrath","Arlene Klasky,Gabor Csupo,Steve Pepoon","Tim Curry,Rupert Everett,Flea",5.6,"Animation,Adventure,Comedy"
6812,Windtalkers,2002,2002,2h 14m,John Woo,"John Rice,Joe Batteer","Nicolas Cage,Adam Beach,Peter Stormare",6.1,"Action,Drama,War"
6813,xXx,2002,2002,2h 4m,Rob Cohen,Rich Wilkes,"Vin Diesel,Asia Argento,Marton Csokas",5.9,"Action,Adventure,Thriller"
6814,Zig Zag,2002,1997,1h 58m,Jeb Stuart,Jeb Stuart,"Danny Glover,Dennis Quaid,Claudia Stedelin",6.4,"Crime,Mystery,Thriller"
6815,Finding Nemo,2003,2003,1h 40m,"Andrew Stanton,Lee Unkrich","Andrew Stanton,Bob Peterson,David Reynolds","Albert Brooks,Ellen DeGeneres,Alexander Gould",8.1,"Animation,Adventure,Comedy"
6816,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2003,2h 23m,Gore Verbinski,"Ted Elliott,Terry Rossio,Stuart Beattie","Johnny Depp,Geoffrey Rush,Orlando Bloom",8.0,"Action,Adventure,Fantasy"
6817,The Matrix Reloaded,2003,2003,2h 18m,"Lana Wachowski,Lilly Wachowski","Lilly Wachowski,Lana Wachowski","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",7.2,"Action,Sci-Fi"
6818,The Lord of the Rings: The Return of the King,2003,2003,3h 21m,Peter Jackson,"J.R.R. Tolkien,Fran Walsh,Philippa Boyens","Elijah Wood,Viggo Mortensen,Ian McKellen",8.9,"Action,Adventure,Drama"
6819,Bruce Almighty,2003,2003,1h 41m,Tom Shadyac,"Steve Koren,Mark O'Keefe,Steve Oedekerk","Jim Carrey,Jennifer Aniston,Morgan Freeman",6.8,"Comedy,Fantasy"
6820,X2: X-Men United,2003,2003,2h 14m,Bryan Singer,"Zak Penn,David Hayter,Bryan Singer","Patrick Stewart,Hugh Jackman,Halle Berry",7.4,"Action,Sci-Fi,Thriller"
6821,Elf,2003,2003,1h 37m,Jon Favreau,David Berenbaum,"Will Ferrell,James Caan,Bob Newhart",7.0,"Adventure,Comedy,Family"
6822,Chicago,2003,2002,1h 53m,Rob Marshall,"Bill Condon,Bob Fosse,Fred Ebb","Renée Zellweger,Catherine Zeta-Jones,Richard Gere",7.2,"Comedy,Crime,Musical"
6823,Terminator 3: Rise of the Machines,2003,2003,1h 49m,Jonathan Mostow,"John Brancato,Michael Ferris,Tedi Sarafian","Arnold Schwarzenegger,Nick Stahl,Kristanna Loken",6.3,"Action,Sci-Fi"
6824,Bad Boys II,2003,2003,2h 27m,Michael Bay,"George Gallo,Marianne Wibberley,Cormac Wibberley","Will Smith,Martin Lawrence,Gabrielle Union",6.6,"Action,Comedy,Crime"
6825,11:14,2003,2003,1h 26m,Greg Marcks,Greg Marcks,"Henry Thomas,Colin Hanks,Ben Foster",7.2,"Comedy,Crime,Drama"
6826,101 Dalmatians II: Patch's London Adventure,2003,,GG,"Jim Kammerud,Brian Smith","Jim Kammerud,Dan Root,Garrett K. Schiff","Barry Bostwick,Jason Alexander,Martin Short",5.8,"Animation,Adventure,Comedy"
6827,2 Fast 2 Furious,2003,2003,1h 47m,John Singleton,"Gary Scott Thompson,Michael Brandt,Derek Haas","Paul Walker,Tyrese Gibson,Cole Hauser",5.9,"Action,Crime,Thriller"
6828,21 Grams,2003,2003,2h 4m,Alejandro G. Iñárritu,Guillermo Arriaga,"Sean Penn,Benicio Del Toro,Naomi Watts",7.6,"Crime,Drama,Thriller"
6829,44 Minutes: The North Hollywood Shoot-Out,2003,,RR,Yves Simoneau,Tim Metcalfe,"Michael Madsen,Ron Livingston,Ray Baker",6.3,"Action,Crime,Drama"
6830,Abby Singer,2003,,,,,,,
6831,Afro-Punk,2003,2003,1h 15m,,,,7.1,"Documentary,Music"
6832,Agent Cody Banks,2003,2003,1h 42m,Harald Zwart,"Ashley Miller,Zack Stentz,Scott Alexander","Frankie Muniz,Hilary Duff,Andrew Francis",5.1,"Action,Adventure,Comedy"
6833,Aileen: Life and Death of a Serial Killer,2003,2003,1h 33m,,,,7.1,"Documentary,Crime"
6834,Alex & Emma,2003,2003,1h 36m,Rob Reiner,Jeremy Leven,"Luke Wilson,Kate Hudson,David Paymer",5.6,"Comedy,Romance"
6835,Alien Hunter,2003,1987,1h 47m,John McTiernan,"Jim Thomas,John Thomas","Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall",7.8,"Action,Adventure,Horror"
6836,All the Real Girls,2003,2003,1h 48m,David Gordon Green,"David Gordon Green,Paul Schneider","Zooey Deschanel,Paul Schneider,Patricia Clarkson",6.8,"Drama,Romance"
6837,Amandla!: A Revolution in Four-Part Harmony,2003,2002,1h 48m,Lee Hirsch,Lee Hirsch,"Abdullah Ibrahim,Duma Ka Ndlovu,Vusi Mahlasela",7.3,"Documentary,History,Music"
6838,American Splendor,2003,2003,1h 41m,"Shari Springer Berman,Robert Pulcini","Harvey Pekar,Joyce Brabner,Shari Springer Berman","Paul Giamatti,Shari Springer Berman,Harvey Pekar",7.4,"Biography,Comedy,Drama"
6839,American Wedding,2003,2003,1h 36m,Jesse Dylan,Adam Herz,"Jason Biggs,Alyson Hannigan,Seann William Scott",6.3,Comedy
6840,Anger Management,2003,2003,1h 46m,Peter Segal,David Dorfman,"Jack Nicholson,Adam Sandler,Marisa Tomei",6.2,Comedy
6841,Anne B. Real,2003,2003,1h 31m,Lisa France,"Antonio Macia,Lisa France,Luis Moro","Carlos Leon,Eric Smith,Jackie Quinones",2.3,Drama
6842,Anything Else,2003,2003,1h 48m,Woody Allen,Woody Allen,"Woody Allen,Jason Biggs,Christina Ricci",6.3,"Comedy,Romance"
6843,BAADASSSSS!,2003,2003,1h 49m,Mario Van Peebles,"Melvin Van Peebles,Mario Van Peebles,Dennis Haggerty","Mario Van Peebles,Nia Long,Joy Bryant",7.3,"Biography,Drama"
6844,Bad Boys II,2003,2003,2h 27m,Michael Bay,"George Gallo,Marianne Wibberley,Cormac Wibberley","Will Smith,Martin Lawrence,Gabrielle Union",6.6,"Action,Comedy,Crime"
6845,Bad Santa,2003,2003,1h 32m,Terry Zwigoff,"Glenn Ficarra,John Requa","Billy Bob Thornton,Bernie Mac,Lauren Graham",7.0,"Comedy,Crime,Drama"
6846,Basic,2003,2003,1h 38m,John McTiernan,James Vanderbilt,"John Travolta,Samuel L. Jackson,Connie Nielsen",6.5,"Action,Crime,Drama"
6847,The Battle of Shaker Heights,2003,2003,1h 19m,"Efram Potelle,Kyle Rankin",Erica Beeney,"Shia LaBeouf,Elden Henson,Amy Smart",6.0,"Comedy,Drama,Romance"
6848,Bells of Innocence,2003,2003,1h 50m,Alin Bijan,"Chris Bessey,Mike Norris","Mike Norris,Carey Scott,David A.R. White",3.1,Horror
6849,The Best Two Years,2003,2004,1h 52m,Scott S. Anderson,Scott S. Anderson,"K.C. Clyde,Kirby Heyborne,Cameron Hopkin",7.6,"Comedy,Drama"
6850,Beyond Borders,2003,2003,2h 7m,Martin Campbell,Caspian Tredwell-Owen,"Clive Owen,Angelina Jolie,Linus Roache",6.5,"Adventure,Drama,Romance"
6851,Big Fish,2003,2003,2h 5m,Tim Burton,"Daniel Wallace,John August","Ewan McGregor,Albert Finney,Billy Crudup",8.0,"Adventure,Drama,Fantasy"
6852,Biker Boyz,2003,2003,1h 50m,Reggie Rock Bythewood,"Michael Gougis,Craig Fernandez,Reggie Rock Bythewood","Laurence Fishburne,Derek Luke,Orlando Jones",4.7,"Action,Drama"
6853,Black Cadillac,2003,2003,1h 33m,John Murlowski,"John Murlowski,William Porter","Randy Quaid,Shane Johnson,Josh Hammond",5.8,"Horror,Thriller"
6854,Blind Horizon,2003,2003,1h 39m,Michael Haussman,"F. Paul Benz,Steve Tomlin","Val Kilmer,Neve Campbell,Sam Shepard",5.6,"Drama,Mystery,Thriller"
6855,Blizzard,2003,2003,1h 35m,LeVar Burton,"Agnes Bristow,Leif Bristow,Murray McRae","Paul Bates,Brenda Blethyn,Brittany Bristow",5.8,"Comedy,Family"
6856,Boat Trip,2003,2002,1h 34m,Mort Nathan,"Mort Nathan,William Bigelow","Cuba Gooding Jr.,Horatio Sanz,Roselyn Sanchez",4.9,Comedy
6857,Bringing Down the House,2003,2003,1h 45m,Adam Shankman,Jason Filardi,"Steve Martin,Queen Latifah,Eugene Levy",5.6,Comedy
6858,Bringing Rain,2003,2003,1h 22m,Noah Buschel,Noah Buschel,"Adrian Grenier,Paz de la Huerta,Merritt Wever",5.3,"Drama,Mystery,Romance"
6859,Brother Bear,2003,2003,1h 25m,"Aaron Blaise,Robert Walker","Tab Murphy,Lorne Cameron,David Hoselton","Joaquin Phoenix,Jeremy Suarez,Rick Moranis",6.8,"Animation,Adventure,Comedy"
6860,The Brown Bunny,2003,2003,1h 33m,Vincent Gallo,Vincent Gallo,"Vincent Gallo,Chloë Sevigny,Cheryl Tiegs",5.0,Drama
6861,Bruce Almighty,2003,2003,1h 41m,Tom Shadyac,"Steve Koren,Mark O'Keefe,Steve Oedekerk","Jim Carrey,Jennifer Aniston,Morgan Freeman",6.8,"Comedy,Fantasy"
6862,Bulletproof Monk,2003,2003,1h 44m,Paul Hunter,"Ethan Reiff,Cyrus Voris","Chow Yun-Fat,Seann William Scott,Jaime King",5.5,"Action,Comedy,Fantasy"
6863,Camp,2003,2003,1h 54m,Todd Graff,Todd Graff,"Don Dixon,Daniel Letterle,Joanna Chilcoat",6.2,"Comedy,Musical,Drama"
6864,Carolina,2003,2003,1h 36m,Marleen Gorris,Katherine Fugate,"Julia Stiles,Shirley MacLaine,Alessandro Nivola",6.1,"Comedy,Drama,Romance"
6865,Casa de los Babys,2003,2003,1h 35m,John Sayles,John Sayles,"Daryl Hannah,Maggie Gyllenhaal,Mary Steenburgen",6.4,Drama
6866,The Cat in the Hat,2003,2003,1h 22m,Bo Welch,"Dr. Seuss,Alec Berg,David Mandel","Mike Myers,Spencer Breslin,Dakota Fanning",4.0,"Adventure,Comedy,Family"
6867,Charlie's Angels: Full Throttle,2003,2003,1h 46m,McG,"Ivan Goff,Ben Roberts,John August","Drew Barrymore,Lucy Liu,Cameron Diaz",4.9,"Action,Adventure,Comedy"
6868,Chasing Papi,2003,2003,1h 20m,Linda Mendoza,"Laura Angelica Simon,Steve Antin,Alison Balian","Eduardo Verástegui,Roselyn Sanchez,Sofía Vergara",4.8,"Comedy,Romance"
6869,Cheaper by the Dozen,2003,2003,1h 38m,Shawn Levy,"Frank B. Gilbreth Jr.,Ernestine Gilbreth Carey,Craig Titley","Steve Martin,Bonnie Hunt,Hilary Duff",5.9,"Comedy,Family"
6870,Christmas Child,2003,2004,1h 36m,"Bill Ewing,Bart Gavigan","Max Lucado,Andrea Jobe,Eric Newman","William R. Moses,Tonya Bordeaux,Steven Curtis Chapman",6.2,Drama
6871,Coffee and Cigarettes,2003,2003,1h 35m,Jim Jarmusch,Jim Jarmusch,"Bill Murray,Tom Waits,Roberto Benigni",7.1,"Comedy,Drama,Music"
6872,Cold Creek Manor,2003,2003,1h 58m,Mike Figgis,Richard Jefferies,"Dennis Quaid,Sharon Stone,Stephen Dorff",5.0,"Drama,Mystery,Thriller"
6873,Cold Mountain,2003,2003,2h 34m,Anthony Minghella,"Charles Frazier,Anthony Minghella","Jude Law,Nicole Kidman,Renée Zellweger",7.2,"Adventure,Drama,History"
6874,Comandante,2003,2003,1h 39m,Oliver Stone,Oliver Stone,"Fidel Castro,Oliver Stone,Juanita Vera",6.9,Documentary
6875,The Company,2003,2003,1h 52m,Robert Altman,"Neve Campbell,Barbara Turner","Neve Campbell,James Franco,Malcolm McDowell",6.3,"Drama,Music,Romance"
6876,Confidence,2003,2003,1h 37m,James Foley,Doug Jung,"Edward Burns,Dustin Hoffman,Rachel Weisz",6.7,"Crime,Thriller"
6877,The Cooler,2003,2003,1h 41m,Wayne Kramer,"Frank Hannah,Wayne Kramer","William H. Macy,Maria Bello,Alec Baldwin",6.9,"Drama,Romance"
6878,The Core,2003,2003,2h 15m,Jon Amiel,"Cooper Layne,John Rogers","Aaron Eckhart,Hilary Swank,Delroy Lindo",5.5,"Action,Adventure,Sci-Fi"
6879,Cosmopolitan,2003,,53m,Nisha Ganatra,Sabrina Dhawan,"Roshan Seth,Carol Kane,Madhur Jaffrey",7.4,"Drama,Romance"
6880,Cradle 2 the Grave,2003,2003,1h 41m,Andrzej Bartkowiak,"John O'Brien,Channing Gibson","Jet Li,DMX,Mark Dacascos",5.8,"Action,Crime,Drama"
6881,Crime Spree,2003,2003,1h 45m,Brad Mirman,Brad Mirman,"Gérard Depardieu,Harvey Keitel,Johnny Hallyday",6.5,"Action,Comedy,Crime"
6882,Daddy Day Care,2003,2003,1h 32m,Steve Carr,Geoff Rodkey,"Eddie Murphy,Jeff Garlin,Anjelica Huston",5.6,"Comedy,Family"
6883,Daredevil,2003,,TV-MATV-MA,,,,8.6,"Action,Crime,Drama"
6884,Dark Blue,2003,2002,1h 58m,Ron Shelton,"James Ellroy,David Ayer","Kurt Russell,Ving Rhames,Scott Speedman",6.6,"Crime,Drama,Thriller"
6885,Darkness Falls,2003,2003,1h 26m,Jonathan Liebesman,"Joe Harris,John Fasano,James Vanderbilt","Chaney Kley,Emma Caulfield Ford,Antony Burrows",5.0,"Fantasy,Horror,Mystery"
6886,Deliver Us from Eva,2003,2003,1h 45m,Gary Hardwick,"James Iver Mattson,B.E. Brauner,Gary Hardwick","Gabrielle Union,LL Cool J,Essence Atkins",6.1,"Comedy,Drama,Romance"
6887,Devil's Pond,2003,2003,1h 32m,Joel Viertel,"Alek Lev,Mora Stephens,Joel Viertel","Kip Pardue,Tara Reid,Meredith Baxter",5.4,"Drama,Thriller"
6888,Dickie Roberts: Former Child Star,2003,2003,1h 38m,Sam Weisman,"Fred Wolf,David Spade","David Spade,Mary McCormack,Alyssa Milano",5.6,Comedy
6889,Le Divorce,2003,2003,1h 57m,James Ivory,"Diane Johnson,Ruth Prawer Jhabvala,James Ivory","Kate Hudson,Naomi Watts,Stockard Channing",4.9,"Comedy,Drama,Romance"
6890,Down with Love,2003,2003,1h 41m,Peyton Reed,"Eve Ahlert,Dennis Drake","Ewan McGregor,Renée Zellweger,David Hyde Pierce",6.3,"Comedy,Romance"
6891,Dreamcatcher,2003,2003,2h 16m,Lawrence Kasdan,"Stephen King,William Goldman,Lawrence Kasdan","Morgan Freeman,Thomas Jane,Jason Lee",5.5,"Drama,Horror,Sci-Fi"
6892,Dumb and Dumberer: When Harry Met Lloyd,2003,2003,1h 25m,Troy Miller,"Peter Farrelly,Bennett Yellin,Bobby Farrelly","Derek Richardson,Eric Christian Olsen,Eugene Levy",3.4,Comedy
6893,Duplex,2003,2003,1h 29m,Danny DeVito,Larry Doyle,"Ben Stiller,Drew Barrymore,Eileen Essell",5.9,Comedy
6894,Dysfunktional Family,2003,2003,1h 29m,George Gallo,Eddie Griffin,"Eddie Griffin,Joe Howard,Matthew Brent",6.6,"Comedy,Documentary"
6895,Elephant,2003,2003,1h 21m,Gus Van Sant,Gus Van Sant,"Elias McConnell,Alex Frost,Eric Deulen",7.2,"Crime,Drama,Thriller"
6896,Elf,2003,2003,1h 37m,Jon Favreau,David Berenbaum,"Will Ferrell,James Caan,Bob Newhart",7.0,"Adventure,Comedy,Family"
6897,Evil Alien Conquerors,2003,2003,1h 29m,Chris Matheson,"Chris Matheson,Ryan Rowe","Michael Weston,Diedrich Bader,Chris Parnell",4.9,"Comedy,Sci-Fi"
6898,Faster,2003,2010,1h 38m,George Tillman Jr.,"Tony Gayton,Joe Gayton","Dwayne Johnson,Billy Bob Thornton,Maggie Grace",6.4,"Action,Crime,Drama"
6899,Festival Express,2003,2003,1h 30m,,,,7.5,"Documentary,History,Music"
6900,The Fighting Temptations,2003,2003,2h 3m,Jonathan Lynn,"Elizabeth Hunter,Saladin K. Patterson","Cuba Gooding Jr.,Beyoncé,Mike Epps",5.6,"Comedy,Drama,Music"
6901,Final Destination 2,2003,2003,1h 30m,David R. Ellis,"J. Mackye Gruber,Eric Bress,Jeffrey Reddick","A.J. Cook,Ali Larter,Tony Todd",6.2,"Horror,Thriller"
6902,Finding Nemo,2003,2003,1h 40m,"Andrew Stanton,Lee Unkrich","Andrew Stanton,Bob Peterson,David Reynolds","Albert Brooks,Ellen DeGeneres,Alexander Gould",8.1,"Animation,Adventure,Comedy"
6903,Flywheel,2003,2003,2h,Alex Kendrick,"Alex Kendrick,Stephen Kendrick","Rosetta Harris Armstrong,Lisa Arnold,Blake Bailey",6.7,Drama
6904,The Fog of War,2003,2003,1h 47m,,,,8.1,"Documentary,Biography,History"
6905,Freaky Friday,2003,2003,1h 37m,Mark Waters,"Mary Rodgers,Heather Hach,Leslie Dixon","Jamie Lee Curtis,Lindsay Lohan,Mark Harmon",6.2,"Comedy,Family,Fantasy"
6906,Freddy vs. Jason,2003,2003,1h 37m,Ronny Yu,"Wes Craven,Victor Miller,Damian Shannon","Robert Englund,Ken Kirzinger,Kelly Rowland",5.7,"Action,Horror"
6907,From Justin to Kelly,2003,2003,1h 21m,Robert Iscove,Kim Fuller,"Kelly Clarkson,Justin Guarini,Katherine Bailess",2.1,"Comedy,Musical,Romance"
6908,Gang of Roses,2003,2003,1h 34m,Jean-Claude La Marre,Jean-Claude La Marre,"Monica Calhoun,Lil' Kim,Stacey Dash",2.5,"Action,Drama,Western"
6909,Shrek 2,2004,2004,1h 33m,"Andrew Adamson,Kelly Asbury,Conrad Vernon","William Steig,Andrew Adamson,Joe Stillman","Mike Myers,Eddie Murphy,Cameron Diaz",7.2,"Animation,Adventure,Comedy"
6910,Spider-Man 2,2004,2004,2h 7m,Sam Raimi,"Stan Lee,Steve Ditko,Alfred Gough","Tobey Maguire,Kirsten Dunst,Alfred Molina",7.4,"Action,Adventure,Sci-Fi"
6911,The Passion of the Christ,2004,2004,2h 7m,Mel Gibson,"Benedict Fitzgerald,Mel Gibson","Jim Caviezel,Monica Bellucci,Maia Morgenstern",7.2,Drama
6912,Harry Potter and the Prisoner of Azkaban,2004,2004,2h 22m,Alfonso Cuarón,"J.K. Rowling,Steve Kloves","Daniel Radcliffe,Emma Watson,Rupert Grint",7.9,"Adventure,Family,Fantasy"
6913,The Incredibles,2004,2004,1h 55m,Brad Bird,Brad Bird,"Craig T. Nelson,Samuel L. Jackson,Holly Hunter",8.0,"Animation,Action,Adventure"
6914,The Day After Tomorrow,2004,2004,2h 4m,Roland Emmerich,"Roland Emmerich,Jeffrey Nachmanoff","Dennis Quaid,Jake Gyllenhaal,Emmy Rossum",6.4,"Action,Adventure,Sci-Fi"
6915,The Bourne Supremacy,2004,2004,1h 48m,Paul Greengrass,"Robert Ludlum,Tony Gilroy","Matt Damon,Franka Potente,Joan Allen",7.7,"Action,Mystery,Thriller"
6916,Shark Tale,2004,2004,1h 30m,"Bibo Bergeron,Vicky Jenson,Rob Letterman","Michael J. Wilson,Rob Letterman,Scott Aukerman","Will Smith,Robert De Niro,Renée Zellweger",6.0,"Animation,Adventure,Comedy"
6917,The Polar Express,2004,2004,1h 40m,Robert Zemeckis,"Chris Van Allsburg,Robert Zemeckis,William Broyles Jr.","Tom Hanks,Chris Coppola,Michael Jeter",6.6,"Animation,Adventure,Comedy"
6918,National Treasure,2004,2004,2h 11m,Jon Turteltaub,"Jim Kouf,Cormac Wibberley,Marianne Wibberley","Nicolas Cage,Diane Kruger,Justin Bartha",6.9,"Action,Adventure,Mystery"
6919,Chasing Liberty,2004,2004,1h 41m,Andy Cadiff,"Derek Guiley,David Schneiderman","Mandy Moore,Matthew Goode,Mark Harmon",6.1,"Comedy,Romance"
6920,My Baby's Daddy,2004,2004,1h 26m,Cheryl Dunye,"Eddie Griffin,Coke Daniels,Brent Goldberg","Eddie Griffin,Anthony Anderson,Michael Imperioli",4.6,Comedy
6921,Along Came Polly,2004,2004,1h 30m,John Hamburg,John Hamburg,"Ben Stiller,Jennifer Aniston,Debra Messing",6.0,"Comedy,Romance"
6922,The Goodbye Girl,2004,1977,1h 51m,Herbert Ross,Neil Simon,"Richard Dreyfuss,Marsha Mason,Quinn Cummings",7.4,"Comedy,Drama,Romance"
6923,Pixel Perfect,2004,,TV-GTV-G,Mark A.Z. Dippé,"Alan Sacks,Neal Shusterman","Raviv Ullman,Leah Pipes,Spencer Redford",5.7,"Family,Sci-Fi,Comedy"
6924,Teacher's Pet,2004,1958,2h,George Seaton,"Fay Kanin,Michael Kanin","Clark Gable,Doris Day,Gig Young",7.1,"Comedy,Romance"
6925,Torque,2004,2004,1h 24m,Joseph Kahn,Matt Johnson,"Martin Henderson,Ice Cube,Monet Mazur",4.1,"Action,Comedy,Crime"
6926,Everyday People,2004,1993,1h 51m,Richard Benjamin,"Marcia Brandwynne,Nadine Schiff,Holly Goldberg Sloan","Whoopi Goldberg,Ted Danson,Will Smith",5.1,Comedy
6927,D.E.B.S.,2004,2004,1h 31m,Angela Robinson,Angela Robinson,"Sara Foster,Jordana Brewster,Devon Aoki",5.4,"Action,Comedy,Romance"
6928,The Butterfly Effect,2004,2004,1h 53m,"Eric Bress,J. Mackye Gruber","J. Mackye Gruber,Eric Bress","Ashton Kutcher,Amy Smart,Melora Walters",7.6,"Drama,Sci-Fi,Thriller"
6929,Win a Date with Tad Hamilton!,2004,2004,1h 36m,Robert Luketic,Victor Levin,"Kate Bosworth,Josh Duhamel,Topher Grace",5.6,"Comedy,Romance"
6930,The Big Bounce,2004,2004,1h 28m,George Armitage,"Elmore Leonard,Sebastian Gutierrez","Owen Wilson,Morgan Freeman,Gary Sinise",4.9,"Comedy,Crime"
6931,The Perfect Score,2004,2004,1h 33m,Brian Robbins,"Marc Hyman,Jon Zack,Mark Schwahn","Scarlett Johansson,Erika Christensen,Chris Evans",5.7,"Comedy,Crime,Drama"
6932,You Got Served,2004,2004,1h 35m,Chris Stokes,Chris Stokes,"Omarion,Jarell Houston,Raz B",3.9,"Drama,Music"
6933,Barbershop 2: Back in Business,2004,2004,1h 46m,Kevin Rodney Sullivan,"Mark Brown,Don D. Scott","Ice Cube,Cedric the Entertainer,Eve",5.7,"Comedy,Drama"
6934,Catch That Kid,2004,2004,1h 31m,Bart Freundlich,"Nikolaj Arcel,Fabian Wullenweber,Erlend Loe","Kristen Stewart,Sam Robards,Jennifer Beals",5.3,"Action,Adventure,Comedy"
6935,Miracle,2004,2004,2h 15m,Gavin O'Connor,Eric Guggenheim,"Kurt Russell,Patricia Clarkson,Nathan West",7.5,"Biography,Drama,History"
6936,50 First Dates,2004,2004,1h 39m,Peter Segal,George Wing,"Adam Sandler,Drew Barrymore,Rob Schneider",6.8,"Comedy,Drama,Romance"
6937,Iron Jawed Angels,2004,,TV-14TV-14,Katja von Garnier,"Jennifer Friedes,Sally Robinson,Eugenia Bostwick-Singer","Hilary Swank,Margo Martindale,Anjelica Huston",7.4,"Biography,Drama,History"
6938,Against the Ropes,2004,2004,1h 50m,Charles S. Dutton,"Jackie Kallen,Cheryl Edwards","Meg Ryan,Omar Epps,Charles S. Dutton",5.3,"Biography,Drama,Romance"
6939,Clifford's Really Big Movie,2004,2004,1h 14m,"Robert C. Ramirez,Steve Trenbirth","Rhett Reese,Robert C. Ramirez,Norman Bridwell","John Ritter,Cree Summer,Kel Mitchell",5.5,"Animation,Adventure,Comedy"
6940,Confessions of a Teenage Drama Queen,2004,2004,1h 29m,Sara Sugarman,"Dyan Sheldon,Gail Parent","Lindsay Lohan,Megan Fox,Adam Garcia",4.7,"Comedy,Family,Music"
6941,EuroTrip,2004,2004,1h 32m,"Jeff Schaffer,Alec Berg,David Mandel","Alec Berg,David Mandel,Jeff Schaffer","Scott Mechlowicz,Jacob Pitts,Michelle Trachtenberg",6.6,Comedy
6942,Welcome to Mooseport,2004,2004,1h 50m,Donald Petrie,"Doug Richardson,Tom Schulman","Gene Hackman,Ray Romano,Maura Tierney",5.2,"Comedy,Romance"
6943,The Passion of the Christ,2004,2004,2h 7m,Mel Gibson,"Benedict Fitzgerald,Mel Gibson","Jim Caviezel,Monica Bellucci,Maia Morgenstern",7.2,Drama
6944,Club Dread,2004,2004,1h 44m,Jay Chandrasekhar,"Jay Chandrasekhar,Kevin Heffernan,Steve Lemme","Jay Chandrasekhar,Bill Paxton,Kevin Heffernan",5.7,"Comedy,Horror,Mystery"
6945,Twisted,2004,,TV-14TV-14,,,,7.3,"Drama,Mystery,Thriller"
6946,Hidalgo,2004,2004,2h 16m,Joe Johnston,John Fusco,"Viggo Mortensen,Omar Sharif,Zuleikha Robinson",6.7,"Action,Adventure,Biography"
6947,Starsky & Hutch,2004,,1h,,,,7.0,"Action,Crime,Drama"
6948,Agent Cody Banks 2: Destination London,2004,2004,1h 40m,Kevin Allen,"Jeffrey Jurgensen,Harald Zwart,Dylan Sellers","Frankie Muniz,Anthony Anderson,Hannah Spearritt",4.6,"Action,Adventure,Comedy"
6949,Secret Window,2004,2004,1h 36m,David Koepp,"Stephen King,David Koepp","Johnny Depp,Maria Bello,John Turturro",6.5,"Drama,Mystery,Thriller"
6950,Spartan,2004,2004,1h 46m,David Mamet,David Mamet,"Val Kilmer,Derek Luke,William H. Macy",6.5,"Action,Crime,Drama"
6951,Dawn of the Dead,2004,2004,1h 41m,Zack Snyder,"George A. Romero,James Gunn","Sarah Polley,Ving Rhames,Mekhi Phifer",7.3,"Action,Horror"
6952,Eternal Sunshine of the Spotless Mind,2004,2004,1h 48m,Michel Gondry,"Charlie Kaufman,Michel Gondry,Pierre Bismuth","Jim Carrey,Kate Winslet,Tom Wilkinson",8.3,"Drama,Romance,Sci-Fi"
6953,Going to the Mat,2004,,GG,Stuart Gillard,"Chris Nolan,Laurie Nolan,Steve Bloom","Andrew Lawrence,Khleo Thomas,Alessandra Torresani",6.8,"Drama,Family,Sport"
6954,Taking Lives,2004,2004,1h 43m,D.J. Caruso,"Michael Pye,Jon Bokenkamp","Angelina Jolie,Ethan Hawke,Kiefer Sutherland",6.2,"Crime,Mystery,Thriller"
6955,Mango Kiss,2004,2004,1h 24m,Sascha Rice,"Sarah Brown,Sascha Rice","Danièle Ferraro,Michelle Wolff,Sally Kirkland",4.8,"Comedy,Romance"
6956,Jersey Girl,2004,2004,1h 42m,Kevin Smith,Kevin Smith,"Ben Affleck,Liv Tyler,Raquel Castro",6.2,"Comedy,Drama,Romance"
6957,The Ladykillers,2004,2004,1h 44m,"Ethan Coen,Joel Coen","Joel Coen,Ethan Coen,William Rose","Tom Hanks,Marlon Wayans,Irma P. Hall",6.2,"Comedy,Crime,Thriller"
6958,Never Die Alone,2004,2004,1h 28m,Ernest R. Dickerson,"Donald Goines,James Gibson","DMX,David Arquette,Michael Ealy",5.7,"Action,Crime,Drama"
